Date,pasir_kemudi_t2m,pasir_kemudi_d2m,pasir_kemudi_sp,pasir_kemudi_u10,pasir_kemudi_v10,pasir_kemudi_tcwv,pasir_kemudi_rh,pasir_kemudi_ws,pasir_kemudi_tp,felda_panching_t2m,felda_panching_d2m,felda_panching_sp,felda_panching_u10,felda_panching_v10,felda_panching_tcwv,felda_panching_rh,felda_panching_ws,felda_panching_tp,komtur_t2m,komtur_d2m,komtur_sp,komtur_u10,komtur_v10,komtur_tcwv,komtur_rh,komtur_ws,komtur_tp,sg_belat_t2m,sg_belat_d2m,sg_belat_sp,sg_belat_u10,sg_belat_v10,sg_belat_tcwv,sg_belat_rh,sg_belat_ws,sg_belat_tp,sg_cherating_t2m,sg_cherating_d2m,sg_cherating_sp,sg_cherating_u10,sg_cherating_v10,sg_cherating_tcwv,sg_cherating_rh,sg_cherating_ws,sg_cherating_tp
2015-01-31,25.048492,21.3945,1009.60236,-1.4922485,-4.470894,36.400345,80.79497,4.783059,0.022411346,25.048492,21.3945,1009.60236,-1.4922485,-4.470894,36.400345,80.79497,4.783059,0.022411346,25.048492,21.3945,1009.60236,-1.4922485,-4.470894,36.400345,80.79497,4.783059,0.022411346,25.048492,21.3945,1009.60236,-1.4922485,-4.470894,36.400345,80.79497,4.783059,0.022411346,25.462067,21.187958,1012.4473,-2.1553345,-7.132271,36.52632,77.28259,7.4631233,0.079631805
2015-02-01,25.269348,20.572327,1009.6266,-0.9599571,-4.0685387,36.007744,76.16646,4.280816,0.1487732,25.269348,20.572327,1009.6266,-0.9599571,-4.0685387,36.007744,76.16646,4.280816,0.1487732,25.269348,20.572327,1009.6266,-0.9599571,-4.0685387,36.007744,76.16646,4.280816,0.1487732,25.269348,20.572327,1009.6266,-0.9599571,-4.0685387,36.007744,76.16646,4.280816,0.1487732,25.209778,20.735413,1012.3141,-2.2814903,-7.127865,37.125908,76.540764,7.5104,1.2655258
2015-02-02,25.094147,21.40564,1010.2764,-1.082962,-4.299057,44.697243,80.15749,4.6216416,0.18262863,25.094147,21.40564,1010.2764,-1.082962,-4.299057,44.697243,80.15749,4.6216416,0.18262863,25.094147,21.40564,1010.2764,-1.082962,-4.299057,44.697243,80.15749,4.6216416,0.18262863,25.094147,21.40564,1010.2764,-1.082962,-4.299057,44.697243,80.15749,4.6216416,0.18262863,25.555573,21.773804,1013.0039,-1.6642609,-7.2165375,43.937965,79.75568,7.520896,0.70238113
2015-02-03,24.059204,22.428497,1011.02325,0.005493164,-3.58786,55.222767,90.75516,3.610323,6.4311028,24.059204,22.428497,1011.02325,0.005493164,-3.58786,55.222767,90.75516,3.610323,6.4311028,24.059204,22.428497,1011.02325,0.005493164,-3.58786,55.222767,90.75516,3.610323,6.4311028,24.059204,22.428497,1011.02325,0.005493164,-3.58786,55.222767,90.75516,3.610323,6.4311028,24.881958,22.551544,1013.6408,-0.8529053,-7.1042175,57.453236,87.07888,7.228952,7.8983307
2015-02-04,24.582245,22.97699,1010.10645,-1.0183449,-3.9245453,56.319527,90.84024,4.084325,2.0928383,24.582245,22.97699,1010.10645,-1.0183449,-3.9245453,56.319527,90.84024,4.084325,2.0928383,24.582245,22.97699,1010.10645,-1.0183449,-3.9245453,56.319527,90.84024,4.084325,2.0928383,24.582245,22.97699,1010.10645,-1.0183449,-3.9245453,56.319527,90.84024,4.084325,2.0928383,25.550507,22.081482,1012.7439,-2.9636574,-6.502426,56.384468,81.17746,7.2487,2.6159286
2015-02-05,25.448822,22.235718,1009.4969,-1.4973869,-4.0888863,52.850178,82.74111,4.423258,0.15163422,25.448822,22.235718,1009.4969,-1.4973869,-4.0888863,52.850178,82.74111,4.423258,0.15163422,25.448822,22.235718,1009.4969,-1.4973869,-4.0888863,52.850178,82.74111,4.423258,0.15163422,25.448822,22.235718,1009.4969,-1.4973869,-4.0888863,52.850178,82.74111,4.423258,0.15163422,25.529388,21.807983,1012.2419,-3.1228752,-6.3930855,53.112873,79.983,7.1281977,0.3991127
2015-02-06,25.156006,22.134796,1009.75964,-1.9216309,-4.416439,47.74159,83.67277,4.901021,0.36859512,25.156006,22.134796,1009.75964,-1.9216309,-4.416439,47.74159,83.67277,4.901021,0.36859512,25.156006,22.134796,1009.75964,-1.9216309,-4.416439,47.74159,83.67277,4.901021,0.36859512,25.156006,22.134796,1009.75964,-1.9216309,-4.416439,47.74159,83.67277,4.901021,0.36859512,25.158447,22.112823,1012.5022,-4.0202637,-6.8646812,47.25819,83.26568,7.9602785,1.0604858
2015-02-07,24.973816,21.542236,1009.3489,-1.7860336,-4.0073814,44.251064,81.46171,4.5140915,0.1320839,24.973816,21.542236,1009.3489,-1.7860336,-4.0073814,44.251064,81.46171,4.5140915,0.1320839,24.973816,21.542236,1009.3489,-1.7860336,-4.0073814,44.251064,81.46171,4.5140915,0.1320839,24.973816,21.542236,1009.3489,-1.7860336,-4.0073814,44.251064,81.46171,4.5140915,0.1320839,25.516785,20.886963,1012.0514,-3.4842758,-6.273983,42.909756,75.615265,7.2005825,0.46873093
2015-02-08,25.09082,20.95346,1009.5283,-1.450901,-4.027611,39.23188,78.17624,4.3570395,0.08535385,25.09082,20.95346,1009.5283,-1.450901,-4.027611,39.23188,78.17624,4.3570395,0.08535385,25.09082,20.95346,1009.5283,-1.450901,-4.027611,39.23188,78.17624,4.3570395,0.08535385,25.09082,20.95346,1009.5283,-1.450901,-4.027611,39.23188,78.17624,4.3570395,0.08535385,25.905762,20.393402,1012.2308,-2.6303444,-6.354759,39.05024,71.71722,6.8866124,0.12302399
2015-02-09,24.70221,21.095398,1010.1177,-1.6504288,-4.522335,40.942413,80.65129,4.9058743,0.12540817,24.70221,21.095398,1010.1177,-1.6504288,-4.522335,40.942413,80.65129,4.9058743,0.12540817,24.70221,21.095398,1010.1177,-1.6504288,-4.522335,40.942413,80.65129,4.9058743,0.12540817,24.70221,21.095398,1010.1177,-1.6504288,-4.522335,40.942413,80.65129,4.9058743,0.12540817,25.546936,20.68573,1012.84515,-2.9592667,-7.525997,39.623077,74.53727,8.124843,0.20599365
2015-02-10,24.592743,20.057526,1009.61487,-1.4421349,-4.405998,38.07112,76.504395,4.6830053,0.0009536743,24.592743,20.057526,1009.61487,-1.4421349,-4.405998,38.07112,76.504395,4.6830053,0.0009536743,24.592743,20.057526,1009.61487,-1.4421349,-4.405998,38.07112,76.504395,4.6830053,0.0009536743,24.592743,20.057526,1009.61487,-1.4421349,-4.405998,38.07112,76.504395,4.6830053,0.0009536743,25.469208,19.437408,1012.3573,-2.30859,-7.0988693,35.981277,69.351524,7.495465,0.03862381
2015-02-11,24.592957,20.467285,1008.71265,-0.9937782,-2.8110123,40.320633,78.33798,3.2271333,0.0,24.592957,20.467285,1008.71265,-0.9937782,-2.8110123,40.320633,78.33798,3.2271333,0.0,24.592957,20.467285,1008.71265,-0.9937782,-2.8110123,40.320633,78.33798,3.2271333,0.0,24.592957,20.467285,1008.71265,-0.9937782,-2.8110123,40.320633,78.33798,3.2271333,0.0,25.487488,19.72168,1011.3651,-2.0494423,-5.067604,37.36165,70.47023,5.6265297,0.008583069
2015-02-12,24.72696,20.84439,1008.01904,-1.4829178,-3.1343994,38.421604,79.5641,3.5937366,0.0009536743,24.72696,20.84439,1008.01904,-1.4829178,-3.1343994,38.421604,79.5641,3.5937366,0.0009536743,24.72696,20.84439,1008.01904,-1.4829178,-3.1343994,38.421604,79.5641,3.5937366,0.0009536743,24.72696,20.84439,1008.01904,-1.4829178,-3.1343994,38.421604,79.5641,3.5937366,0.0009536743,25.447174,20.204742,1010.72906,-2.377449,-5.3182373,37.04514,72.79031,5.854891,0.04529953
2015-02-13,24.511688,20.589996,1007.7656,-1.4363213,-3.3479004,37.09408,79.38549,3.793826,0.0019073486,24.511688,20.589996,1007.7656,-1.4363213,-3.3479004,37.09408,79.38549,3.793826,0.0019073486,24.511688,20.589996,1007.7656,-1.4363213,-3.3479004,37.09408,79.38549,3.793826,0.0019073486,24.511688,20.589996,1007.7656,-1.4363213,-3.3479004,37.09408,79.38549,3.793826,0.0019073486,25.488739,19.8732,1010.52814,-2.3152275,-5.54834,33.75912,71.13182,6.0342903,0.028133392
2015-02-14,24.728058,20.864716,1007.4136,-1.4859352,-2.2606583,41.215958,79.85696,2.8807864,0.0,24.728058,20.864716,1007.4136,-1.4859352,-2.2606583,41.215958,79.85696,2.8807864,0.0,24.728058,20.864716,1007.4136,-1.4859352,-2.2606583,41.215958,79.85696,2.8807864,0.0,24.728058,20.864716,1007.4136,-1.4859352,-2.2606583,41.215958,79.85696,2.8807864,0.0,25.499542,19.85495,1010.1236,-2.7986794,-3.3927383,39.75795,71.000946,4.474366,0.00333786
2015-02-15,25.441193,22.157928,1007.4236,-1.6963158,-2.050644,40.096085,82.464264,2.8246655,0.0104904175,25.441193,22.157928,1007.4236,-1.6963158,-2.050644,40.096085,82.464264,2.8246655,0.0104904175,25.441193,22.157928,1007.4236,-1.6963158,-2.050644,40.096085,82.464264,2.8246655,0.0104904175,25.441193,22.157928,1007.4236,-1.6963158,-2.050644,40.096085,82.464264,2.8246655,0.0104904175,25.750763,20.794159,1010.1361,-3.2988548,-2.6985931,40.538956,74.139946,4.278873,0.042915344
