date,nada,lembing,reman,nada_imputed,lembing_imputed,reman_imputed
2010-04-10,0.0,0.0,0.5,0,0,0
2010-04-11,0.0,0.0,0.0,0,0,0
2010-04-12,0.0,0.0,0.0,0,0,0
2010-04-13,0.0,0.0,0.0,0,0,0
2010-04-14,0.0,0.0,0.0,0,0,0
2010-04-15,0.0,0.0,0.0,0,0,0
2010-04-16,0.0,0.0,0.0,0,0,0
2010-04-17,0.4,0.0,0.4,0,0,0
2010-04-18,7.0,0.0,5.9,0,0,0
2010-04-19,0.2,0.0,0.2,0,0,0
2010-04-20,23.5,0.0,21.0,0,0,0
2010-04-21,51.5,0.0,14.0,0,0,0
2010-04-22,0.0,0.0,0.5,0,0,0
2010-04-23,0.0,0.0,0.0,0,0,0
2010-04-24,0.0,0.0,0.4,0,0,0
2010-04-25,0.3,0.0,1.1,0,0,0
2010-04-26,16.2,0.0,16.5,0,0,0
2010-04-27,70.5,0.0,14.0,0,0,0
2010-04-28,1.5,0.0,0.0,0,0,0
2010-04-29,0.0,0.0,14.5,0,0,0
2010-04-30,0.0,0.0,0.0,0,0,0
2010-05-01,0.0,0.0,0.0,0,0,0
2010-05-02,0.0,0.0,0.0,0,0,0
2010-05-03,0.0,0.0,0.0,0,0,0
2010-05-04,0.0,0.0,0.0,0,0,0
2010-05-05,0.0,2.5,3.5,0,0,0
2010-05-06,0.0,0.0,0.0,0,0,0
2010-05-07,0.0,0.0,0.0,0,0,0
2010-05-08,0.0,0.0,0.0,0,0,0
2010-05-09,37.5,36.5,16.0,0,0,0
2010-05-10,0.0,0.0,0.0,0,0,0
2010-05-11,0.0,0.0,0.0,0,0,0
2010-05-12,0.0,5.0,1.5,0,0,0
2010-05-13,4.5,0.0,13.0,0,0,0
2010-05-14,2.2,16.3,3.2,0,0,0
2010-05-15,4.8,2.7,19.3,0,0,0
2010-05-16,10.0,1.8,29.8,0,0,0
2010-05-17,0.4,0.2,0.7,0,0,0
2010-05-18,0.6,0.5,0.5,0,0,0
2010-05-19,30.5,20.5,25.0,0,0,0
2010-05-20,1.1,1.0,2.6,0,0,0
2010-05-21,0.0,0.0,0.4,0,0,0
2010-05-22,11.5,3.4,23.0,0,0,0
2010-05-23,0.0,0.1,0.0,0,0,0
2010-05-24,0.0,0.0,0.0,0,0,0
2010-05-25,5.0,0.5,1.0,0,0,0
2010-05-26,0.0,0.0,0.0,0,0,0
2010-05-27,0.0,0.0,0.0,0,0,0
