date_start,date_end,nada_3931013,lembing_3930012,reman_3931014,nada_3931013_missing,lembing_3930012_missing,reman_3931014_missing,nada_3931013_15m_total,nada_3931013_15m_peak,nada_3931013_15m_std,lembing_3930012_15m_total,lembing_3930012_15m_peak,lembing_3930012_15m_std,reman_3931014_15m_total,reman_3931014_15m_peak,reman_3931014_15m_std,doy_sin,doy_cos,month_sin,month_cos,nada_3931013_total_rm3,nada_3931013_peak_rm3,nada_3931013_total_rm7,nada_3931013_peak_rm7,nada_3931013_total_rm14,nada_3931013_peak_rm14,nada_3931013_total_lag3,nada_3931013_total_lag7,nada_3931013_total_lag14,lembing_3930012_total_rm3,lembing_3930012_peak_rm3,lembing_3930012_total_rm7,lembing_3930012_peak_rm7,lembing_3930012_total_rm14,lembing_3930012_peak_rm14,lembing_3930012_total_lag3,lembing_3930012_total_lag7,lembing_3930012_total_lag14,reman_3931014_total_rm3,reman_3931014_peak_rm3,reman_3931014_total_rm7,reman_3931014_peak_rm7,reman_3931014_total_rm14,reman_3931014_peak_rm14,reman_3931014_total_lag3,reman_3931014_total_lag7,reman_3931014_total_lag14,nada_3931013_consec_dry,lembing_3930012_consec_dry,reman_3931014_consec_dry
2009-01-31,2009-02-01,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5083564379375122,0.8611467540480452,0.49999999999999994,0.8660254037844387,0.0,0.0,2.3000000000000003,0.3,1.1785714285714286,0.14999999999999997,0.0,0.4,0.0,0.0,0.0,3.942857142857143,0.5857142857142856,2.3214285714285716,0.4285714285714285,0.0,4.9,0.0,0.0,0.0,3.3000000000000003,0.8857142857142858,1.6785714285714286,0.4428571428571429,0.0,0.4,0.0,5,5,5
2009-02-01,2009-02-02,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.6000000000000001,0.2,0.03183014129307066,0.0,0.0,0.0,0.5230943033491326,0.8522748088519838,0.8660254037844386,0.5000000000000001,0.0,0.0,0.2571428571428572,0.07142857142857142,1.1785714285714286,0.14999999999999997,0.0,14.3,0.0,0.3333333333333333,0.06666666666666667,0.42857142857142855,0.14285714285714285,2.392857142857143,0.4428571428571428,0.0,25.6,0.0,0.0,0.0,0.37142857142857144,0.1285714285714286,1.6785714285714286,0.4428571428571429,0.0,20.5,0.0,6,0,6
2009-02-02,2009-02-03,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5376773767406141,0.8431506618282,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,1.1785714285714286,0.14999999999999997,0.0,1.8,0.0,0.3333333333333333,0.06666666666666667,0.14285714285714285,0.028571428571428574,2.392857142857143,0.4428571428571428,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.6785714285714286,0.4428571428571429,0.0,2.6,0.0,7,1,7
2009-02-03,2009-02-04,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5521013427459208,0.8337770129585915,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,1.1785714285714286,0.14999999999999997,0.0,0.0,0.0,0.3333333333333333,0.06666666666666667,0.14285714285714285,0.028571428571428574,2.392857142857143,0.4428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6785714285714286,0.4428571428571429,0.0,0.0,0.0,8,2,8
2009-02-04,2009-02-05,0.0,2.0,0.0,0,0,0,0.0,0.0,0.0,1.5,1.2,0.12593074537847757,0.0,0.0,0.0,0.5663619330814524,0.8241566360566663,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,1.1785714285714286,0.14999999999999997,0.0,0.0,0.0,0.6666666666666666,0.39999999999999997,0.42857142857142855,0.19999999999999998,2.5357142857142856,0.5285714285714286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6785714285714286,0.4428571428571429,0.0,0.0,0.0,9,0,9
2009-02-05,2009-02-06,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.580454927809098,0.8142923779467267,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,1.1785714285714286,0.14999999999999997,0.0,0.0,0.0,0.6666666666666666,0.39999999999999997,0.42857142857142855,0.19999999999999998,2.5357142857142856,0.5285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6785714285714286,0.4428571428571429,0.0,0.0,0.0,10,1,10
2009-02-06,2009-02-07,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5943761565849831,0.804187157621448,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,1.1785714285714286,0.14999999999999997,0.0,0.0,0.0,0.6666666666666666,0.39999999999999997,0.42857142857142855,0.19999999999999998,2.5357142857142856,0.5285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6785714285714286,0.4428571428571429,0.0,0.0,0.0,11,2,11
2009-02-07,2009-02-08,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6081214998935418,0.7938439653781019,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,1.1500000000000001,0.14999999999999997,0.0,0.0,0.4,0.0,0.0,0.42857142857142855,0.19999999999999998,2.185714285714286,0.39285714285714285,2.0,0.0,4.9,0.0,0.0,0.0,0.0,1.6500000000000001,0.4428571428571429,0.0,0.0,0.4,12,3,12
2009-02-08,2009-02-09,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216868902665479,0.7832658619336791,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.1285714285714286,0.03571428571428571,0.0,0.0,14.3,0.0,0.0,0.2857142857142857,0.17142857142857143,0.35714285714285715,0.15714285714285717,0.0,1.0,25.6,0.0,0.0,0.0,0.0,0.18571428571428572,0.0642857142857143,0.0,0.0,20.5,13,4,13
2009-02-09,2009-02-10,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6350683134867438,0.7724559775191742,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.2857142857142857,0.17142857142857143,0.21428571428571427,0.09999999999999999,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,14,5,14
2009-02-10,2009-02-11,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6482618097757122,0.7614175109532997,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.17142857142857143,0.21428571428571427,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6,15
2009-02-11,2009-02-12,0.5,0.5,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6612634749656386,0.7501537286959042,0.8660254037844386,0.5000000000000001,0.16666666666666666,0.0,0.07142857142857142,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.07142857142857142,0.0,0.25,0.09999999999999999,0.0,2.0,0.0,0.16666666666666666,0.0,0.07142857142857142,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0,0,0
2009-02-12,2009-02-13,11.5,9.0,4.0,0,0,0,11.1,6.8,0.7148541441220166,8.9,2.1,0.3554818202966272,3.9,0.9,0.13185169100566227,0.6740694616546161,0.7386679638813748,0.8660254037844386,0.5000000000000001,4.0,2.2666666666666666,1.7142857142857142,0.9714285714285714,0.8571428571428571,0.4857142857142857,0.0,0.0,0.0,3.1666666666666665,0.7000000000000001,1.3571428571428572,0.3,0.8928571428571429,0.25,0.0,0.0,0.0,1.5,0.3,0.6428571428571429,0.1285714285714286,0.32142857142857145,0.0642857142857143,0.0,0.0,0.0,0,0,0
