#Bulk Export - Points every 1 day(s),,,,
,,0570061RF,0570051RF,0570021RF
,,LDG. NADA AT PAHANG (3931013),SG. LEMBING PAHANG CONSOLIDATED COMPANY LIMITED MILL AT PAHANG (3930012),LDG. KUALA REMAN AT PAHANG (3931014)
,,Rainfall.Primary,Rainfall.Primary,Rainfall.Primary
Start of Interval (UTC+08:00),End of Interval (UTC+08:00),Total (mm),Total (mm),Total (mm)
2009-06-18 00:00:00,2009-06-19 00:00:00,0.0,0.0,0.0
2009-06-19 00:00:00,2009-06-20 00:00:00,0.0,0.0,0.0
2009-06-20 00:00:00,2009-06-21 00:00:00,0.0,0.0,0.0
2009-06-21 00:00:00,2009-06-22 00:00:00,2.5,1.5,6.0
2009-06-22 00:00:00,2009-06-23 00:00:00,2.0,7.5,12.1
2009-06-23 00:00:00,2009-06-24 00:00:00,42.2,49.6,71.4
2009-06-24 00:00:00,2009-06-25 00:00:00,3.8,3.9,3.5
2009-06-25 00:00:00,2009-06-26 00:00:00,0.0,0.0,0.0
2009-06-26 00:00:00,2009-06-27 00:00:00,8.0,10.0,0.0
2009-06-27 00:00:00,2009-06-28 00:00:00,1.5,0.0,0.0
2009-06-28 00:00:00,2009-06-29 00:00:00,1.5,6.5,0.0
2009-06-29 00:00:00,2009-06-30 00:00:00,13.4,13.7,41.4
2009-06-30 00:00:00,2009-07-01 00:00:00,3.1,2.8,3.1
2009-07-01 00:00:00,2009-07-02 00:00:00,0.0,9.0,0.0
2009-07-02 00:00:00,2009-07-03 00:00:00,21.2,51.0,45.5
2009-07-03 00:00:00,2009-07-04 00:00:00,0.8,6.0,0.0
2009-07-04 00:00:00,2009-07-05 00:00:00,14.3,3.0,23.0
2009-07-05 00:00:00,2009-07-06 00:00:00,0.2,0.0,0.0
2009-07-06 00:00:00,2009-07-07 00:00:00,0.0,0.0,0.0
2009-07-07 00:00:00,2009-07-08 00:00:00,0.4,0.4,0.4
2009-07-08 00:00:00,2009-07-09 00:00:00,2.6,16.6,11.1
2009-07-09 00:00:00,2009-07-10 00:00:00,7.5,2.0,2.0
2009-07-10 00:00:00,2009-07-11 00:00:00,41.0,21.0,1.5
2009-07-11 00:00:00,2009-07-12 00:00:00,0.5,0.0,10.0
2009-07-12 00:00:00,2009-07-13 00:00:00,0.0,0.0,0.0
2009-07-13 00:00:00,2009-07-14 00:00:00,0.0,0.0,0.0
2009-07-14 00:00:00,2009-07-15 00:00:00,0.0,0.0,0.0
2009-07-15 00:00:00,2009-07-16 00:00:00,0.0,0.0,0.0
2009-07-16 00:00:00,2009-07-17 00:00:00,0.0,0.0,0.0
2009-07-17 00:00:00,2009-07-18 00:00:00,0.0,0.0,0.0
2009-07-18 00:00:00,2009-07-19 00:00:00,0.0,0.0,0.0
2009-07-19 00:00:00,2009-07-20 00:00:00,0.0,0.0,0.0
2009-07-20 00:00:00,2009-07-21 00:00:00,0.0,0.0,0.0
2009-07-21 00:00:00,2009-07-22 00:00:00,0.5,19.0,0.0
2009-07-22 00:00:00,2009-07-23 00:00:00,7.4,4.3,0.5
2009-07-23 00:00:00,2009-07-24 00:00:00,3.6,10.2,10.0
2009-07-24 00:00:00,2009-07-25 00:00:00,0.0,0.0,1.0
2009-07-25 00:00:00,2009-07-26 00:00:00,0.4,0.0,16.3
2009-07-26 00:00:00,2009-07-27 00:00:00,2.5,0.4,17.6
2009-07-27 00:00:00,2009-07-28 00:00:00,8.1,15.6,5.6
2009-07-28 00:00:00,2009-07-29 00:00:00,3.0,9.5,11.2
2009-07-29 00:00:00,2009-07-30 00:00:00,0.5,0.5,1.3
2009-07-30 00:00:00,2009-07-31 00:00:00,0.0,0.0,0.0
2009-07-31 00:00:00,2009-08-01 00:00:00,0.0,0.0,0.0
2009-08-01 00:00:00,2009-08-02 00:00:00,25.0,25.2,9.0
2009-08-02 00:00:00,2009-08-03 00:00:00,0.0,0.3,0.5
2009-08-03 00:00:00,2009-08-04 00:00:00,0.0,0.0,0.0
2009-08-04 00:00:00,2009-08-05 00:00:00,0.0,0.0,0.0
2009-08-05 00:00:00,2009-08-06 00:00:00,0.0,0.0,0.0
2009-08-06 00:00:00,2009-08-07 00:00:00,0.0,0.0,0.0
2009-08-07 00:00:00,2009-08-08 00:00:00,1.0,3.0,2.5
2009-08-08 00:00:00,2009-08-09 00:00:00,0.0,0.0,0.5
2009-08-09 00:00:00,2009-08-10 00:00:00,23.0,46.5,18.2
2009-08-10 00:00:00,2009-08-11 00:00:00,5.0,5.0,5.8
2009-08-11 00:00:00,2009-08-12 00:00:00,0.0,0.0,0.0
2009-08-12 00:00:00,2009-08-13 00:00:00,1.5,14.5,0.0
2009-08-13 00:00:00,2009-08-14 00:00:00,0.0,0.0,0.0
2009-08-14 00:00:00,2009-08-15 00:00:00,0.0,0.0,0.5
2009-08-15 00:00:00,2009-08-16 00:00:00,0.0,0.0,1.5
2009-08-16 00:00:00,2009-08-17 00:00:00,0.5,0.0,0.0
2009-08-17 00:00:00,2009-08-18 00:00:00,0.0,13.5,0.0
2009-08-18 00:00:00,2009-08-19 00:00:00,0.0,0.5,0.0
2009-08-19 00:00:00,2009-08-20 00:00:00,0.0,0.0,0.0
2009-08-20 00:00:00,2009-08-21 00:00:00,6.7,3.4,25.8
2009-08-21 00:00:00,2009-08-22 00:00:00,19.8,12.1,6.6
2009-08-22 00:00:00,2009-08-23 00:00:00,29.3,32.5,3.9
2009-08-23 00:00:00,2009-08-24 00:00:00,21.7,33.8,57.3
2009-08-24 00:00:00,2009-08-25 00:00:00,12.1,1.7,10.7
2009-08-25 00:00:00,2009-08-26 00:00:00,5.4,3.5,3.7
2009-08-26 00:00:00,2009-08-27 00:00:00,44.6,20.8,13.2
2009-08-27 00:00:00,2009-08-28 00:00:00,7.4,15.7,5.1
2009-08-28 00:00:00,2009-08-29 00:00:00,0.5,0.0,0.7
2009-08-29 00:00:00,2009-08-30 00:00:00,24.5,0.0,35.5
2009-08-30 00:00:00,2009-08-31 00:00:00,1.0,10.0,12.0
2009-08-31 00:00:00,2009-09-01 00:00:00,9.0,0.0,5.5
